date,code,name,type,entry_price,target,stop_loss,horizon,main_reason,exit_date,exit_price,result_pct,hit,notes
2026-07-22,6861,キーエンス,A,72110,80763,67783,2-3ヶ月,RSI26・25日線-6%・市場急落巻き込みの超優良,,,,,
2026-07-22,2802,味の素,A,5253,5883,4938,2-3ヶ月,RSI18・売却益剥落の見出し減益+ABF成長,,,,,
2026-07-22,9983,ファーストリテイリング,A,78580,88010,73865,2-3ヶ月,上方修正後の消化・高値-11%押し目,,,,,
2026-07-22,4503,アステラス製薬,B,2175.5,2437,2001,3-6ヶ月,パテントクリフ織り込み後・パドセブ成長・8/5決算,,,,,
2026-07-22,4063,信越化学工業,B,7075,7924,6509,3-6ヶ月,半導体材料のセンチメント巻き戻し押し目,,,,,
2026-07-22,6098,リクルートHD,B,12305,13782,11321,3-6ヶ月,反発遅れの内需人材・相対弱さ修正,,,,,
2026-07-22,7974,任天堂,B,7003,7843,6443,3-6ヶ月,エンタメ内需寄り・高値から緩やか調整,,,,,
2026-07-22,7011,三菱重工業,B,3892,4359,3581,3-6ヶ月,防衛・エネテーマ継続の軽押し目,,,,,
2026-07-22,4543,テルモ,B,2199,2463,2023,3-6ヶ月,医療機器ディフェンシブの市場連れ安,,,,,
2026-07-22,6758,ソニーグループ,B,3444,3857,3168,3-6ヶ月,エンタメ・センサ複合の軽調整,,,,,
2026-07-22,9984,ソフトバンクG,C,5703,6273,5418,~3ヶ月半分利確,7/17急落後・MA25-9%・建玉半分+浅い損切,,,,,
2026-07-22,8035,東京エレクトロン,C,65960,72556,62662,~3ヶ月半分利確,半導体センチメント急落の押し目・TypeC厳守,,,,,
2026-08-12,9433,ＫＤＤＩ,A,2850,3192,2679,2-3ヶ月,好決算後の利確+半導体物色で売られた通信ディフェンシブ押し目,,,,,50株・petit-kabu
2026-08-19,4901,富士フイルムHD,B,3149,3527,2897,3-6ヶ月,1Q費用ショック後の再押し・買い帯3120-3150到達・指数急落連れ安,,,,,半玉・3,100割れで無効・市場続落中は待機可
